year,team,경기,승,패,무,타율,평균자책점,승률
2026,LG 트윈스,70,44,26,0,0.27,4.32,0.629
2026,KT 위즈,69,41,27,1,0.285,4.64,0.603
2026,삼성 라이온즈,69,39,28,2,0.271,4.12,0.582
2026,KIA 타이거즈,71,37,33,1,0.263,4.08,0.529
2026,두산 베어스,71,34,35,2,0.264,4.01,0.493
2026,한화 이글스,69,33,34,2,0.273,4.63,0.493
2026,NC 다이노스,68,32,35,1,0.279,4.53,0.478
2026,롯데 자이언츠,69,28,39,2,0.259,4.58,0.418
2026,SSG 랜더스,70,28,40,2,0.261,5.61,0.412
2026,키움 히어로즈,72,26,45,1,0.232,4.84,0.366
